observed_on_string,observed_on,latitude,longitude,positional_accuracy,geoprivacy,scientific_name
Tue Apr 02 2019 10:27:41 GMT-0400 (EDT),2019-04-02,35.6067351354,-82.5832912618,65,,Lamium amplexicaule
2019-04-02 2:04:32 PM EDT,2019-04-02,40.0062522888,-75.1773452759,,,Lamium amplexicaule
Thu Apr 04 2019 10:37:26 GMT-0700 (PDT),2019-04-04,38.4287503244,-122.8703232513,5,obscured,Lamium amplexicaule
Fri Apr 05 2019 08:21:26 GMT-0400 (EDT),2019-04-05,39.9973271834,-75.2515653615,11,,Lamium amplexicaule
Fri Apr 05 2019 10:43:20 GMT-0500 (CDT),2019-04-05,36.0842510458,-97.1217387914,179,obscured,Lamium amplexicaule
Sat Apr 06 2019 12:46:33 GMT-0400 (EDT),2019-04-06,39.961195,-75.1350166667,14,,Lamium amplexicaule
Sat Apr 06 2019 16:19:28 GMT-0400 (EDT),2019-04-06,39.0060773255,-77.0943983419,119,,Lamium amplexicaule
2019/03/30 3:00 PM PDT,2019-03-30,38.9745111111,-122.5248694444,,,Lamium amplexicaule
2019/04/05 8:27 AM EDT,2019-04-05,40.82372575,-73.9571834444,,,Lamium amplexicaule
2019/04/03 12:27 PM EDT,2019-04-03,42.3658638889,-71.2537222222,5,,Lamium amplexicaule
Sun Apr 07 2019 12:05:32 GMT-0500 (CDT),2019-04-07,34.736550632,-86.7474963517,10,,Lamium amplexicaule
Sun Apr 07 2019 14:30:09 GMT-0500 (CDT),2019-04-07,37.1872982701,-94.2957998089,12,,Lamium amplexicaule
2019-04-07 3:08:16 PM EDT,2019-04-07,41.7303886414,-72.5823287964,,,Lamium amplexicaule
2019-04-07 3:11:26 PM EDT,2019-04-07,41.7305526733,-72.5816421509,,,Lamium amplexicaule
2019-04-07 4:48:13 PM CDT,2019-04-07,38.6167182922,-90.2114944458,,,Lamium amplexicaule
Sun Apr 07 2019 18:42:04 GMT-0400 (EDT),2019-04-07,38.98677,-76.91613,10,,Lamium amplexicaule
2019-04-07 5:36:20 PM CDT,2019-04-07,38.7682914734,-89.6943283081,,,Lamium amplexicaule
Sun Apr 07 2019 15:02:59 GMT-0400 (EDT),2019-04-07,38.7163283333,-77.0499028333,5,,Lamium amplexicaule
Sun Apr 07 2019 15:21:56 GMT-0400 (EDT),2019-04-07,38.71767,-77.0532445,5,,Lamium amplexicaule
Mon Apr 08 2019 08:16:22 GMT-0700 (PDT),2019-04-08,34.0429416667,-116.9425583333,5,,Lamium amplexicaule
2019-04-09 12:41:11 PM EDT,2019-04-09,39.1686859131,-76.8571014404,,,Lamium amplexicaule
Tue Apr 09 2019 15:26:02 GMT-0600 (MDT),2019-04-09,40.1831087983,-105.1283770056,5,,Lamium amplexicaule
2019/04/09 6:55 PM EDT,2019-04-09,38.86762,-77.1093083333,,,Lamium amplexicaule
Wed Apr 10 2019 15:11:42 GMT-0400 (EDT),2019-04-10,39.0830455937,-77.0018856696,22,obscured,Lamium amplexicaule
